pattern,translation,tags,parents,output
*/NNG/*,,,,*/NN/*
*/NNP/*,,,,*/NN/*
*/NNB/*,,,,*/NN/*
*/NNBC/*,,,,*/NN/*
*/NR/*,,,,*/NN/*
*/VCN/*,,,,*/VV/*
*/VCP/*,,,,*/VV/*
*/VX/*,,,,*/VV/*
*/NN/*,~
*/NP/*,~
*/MAG/*,~
*/XSN/*,~
았/EP/*,,,,었/EP/*
ㅏㅆ/EP/*,,,,었/EP/*
ㅓㅆ/EP/*,,,,었/EP/*
ㅕㅆ/EP/*,,,,었/EP/*
았었/EP/*,,,,었었/EP/*
ㅏㅆ었/EP/*,,,,었었/EP/*
ㅓㅆ었/EP/*,,,,었었/EP/*
었/EP/*+었/EP/*,,,,었었/EP/*
아/EC/*,,,,어/EC/*
ㅏ/EC/*,,,,어/EC/*
ㅓ/EC/*,,,,어/EC/*
ㅕ/EC/*,,,,어/EC/*
여/EC/*,,,,어/EC/*
아도/EC/*,,,,어도/EC/*
ㅏ도/EC/*,,,,어도/EC/*
ㅓ도/EC/*,,,,어도/EC/*
ㅕ도/EC/*,,,,어도/EC/*
여도/EC/*,,,,어도/EC/*
아/EF/*,,,,어/EF/*
ㅏ/EF/*,,,,어/EF/*
ㅓ/EF/*,,,,어/EF/*
ㅕ/EF/*,,,,어/EF/*
여/EF/*,,,,어/EF/*
아요/EF/*,,,,어요/EF/*
ㅏ요/EF/*,,,,어요/EF/*
ㅓ요/EF/*,,,,어요/EF/*
ㅕ요/EF/*,,,,어요/EF/*
여요/EF/*,,,,어요/EF/*
ㅔ요/EF/*,,,,어요/EF/*
아요/EC/*,,,,어요/EF/*
어요/EC/*,,,,어요/EF/*
ㅏ요/EC/*,,,,어요/EF/*
ㅓ요/EC/*,,,,어요/EF/*
ㅕ요/EC/*,,,,어요/EF/*
ㅔ요/EC/*,,,,어요/EF/*
지요/EF/*,,,,죠/EF/*
구요/EF/*,,informal,,고요/EF/*
더라구요/EF/*,,informal,,더라고요/EF/*
ㅂ니다/EF/*,,,,습니다/EF/*
으려고요/EF/*,,,,려고요/EF/*
으니까요/EF/*,,,,니까요/EF/*
으세요/EF/*,,,,시/EP/*+어요/EF/*
ㄴ가요/EC/*,,,,ㄴ가요/EF/*
을까요/EC/*,,,,ㄹ까요/EC/*
을까요/EF/*,,,,ㄹ까요/EF/*
